0      0.0000     0.0000
1      0.1404     0.0010
2      0.1350     0.0465
3      0.0573     0.0539
4     -0.0388     0.0138
5     -0.0455     0.0181
6     -0.1400     0.0191
7     -0.1203    -0.0894
8     -0.2076    -0.1443
9     -0.2459    -0.2254
10    -0.3180    -0.2412
11    -0.3524    -0.2495
12    -0.3092    -0.2829
13    -0.4085    -0.3307
14    -0.4218    -0.4131
15    -0.5224    -0.5592
16    -0.5882    -0.6893
17    -0.7165    -0.8154
18    -0.8775    -0.8838
19    -1.0846    -1.0801
20    -1.2530    -1.2497
21    -1.3099    -1.4085
22    -1.4543    -1.6219
23    -1.6845    -1.7464
24    -1.6656    -1.9033
25    -1.8362    -2.1623
26    -2.0807    -2.4138
27    -2.1987    -2.5327
28    -2.2273    -2.7863
29    -2.2546    -2.2924
30    -2.4823    -2.4203
31    -2.4913    -2.5118
32    -2.4915    -2.5205
33    -2.4722    -2.5003
34    -2.4309    -2.4568
35    -2.3898    -2.3719
36    -2.2887    -2.2823
37    -2.1546    -2.1286
38    -1.9852    -2.0372
39    -1.8948    -1.9257
40    -1.7607    -1.8345
41    -1.6679    -1.7737
42    -1.6172    -1.6990
43    -1.5130    -1.6064
44    -1.4046    -1.5092
45    -1.3265    -1.4292
46    -1.2308    -1.3050
47    -1.0986    -1.2446
48    -1.0784    -1.1833
49    -0.9745    -1.0848
50    -0.8789    -1.0028
51    -0.8158    -0.9341
52    -0.7388    -0.8824
53    -0.6956    -0.8170
54    -0.6438    -0.7714
55    -0.6191    -0.7669
56    -0.6135    -0.7793
57    -0.6447    -0.7990
58    -0.6812    -0.8378
59    -0.7352    -0.8908
